timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,2,2,10,10
1900-01-01 11:10:00,3,3,10,10
1900-01-01 11:15:00,9,9,20,20
1900-01-01 11:20:00,10,10,20,20
1900-01-01 11:25:00,16,16,40,40
1900-01-01 11:30:00,17,17,40,40
1900-01-01 11:35:00,23,23,50,50
1900-01-01 11:40:00,24,24,50,50
1900-01-01 11:45:00,30,30,60,60
1900-01-01 11:50:00,31,31,70,70
1900-01-01 11:55:00,37,37,80,80
1900-01-01 12:00:00,38,38,80,80
