timestamp,fast_pass_crowd_level,regular_crowd_level,fast_pass_waiting_time,regular_waiting_time
1900-01-01 10:00:00,0,0,0,0
1900-01-01 10:05:00,0,0,0,0
1900-01-01 10:10:00,0,0,0,0
1900-01-01 10:15:00,0,0,0,0
1900-01-01 10:20:00,0,0,0,0
1900-01-01 10:25:00,0,0,0,0
1900-01-01 10:30:00,0,0,0,0
1900-01-01 10:35:00,0,0,0,0
1900-01-01 10:40:00,0,0,0,0
1900-01-01 10:45:00,0,0,0,0
1900-01-01 10:50:00,0,0,0,0
1900-01-01 10:55:00,0,0,0,0
1900-01-01 11:00:00,0,0,0,0
1900-01-01 11:05:00,0,0,0,0
1900-01-01 11:10:00,0,0,0,0
1900-01-01 11:15:00,0,0,0,0
1900-01-01 11:20:00,1,1,3,3
1900-01-01 11:25:00,2,2,6,6
1900-01-01 11:30:00,3,3,9,9
1900-01-01 11:35:00,4,4,12,12
1900-01-01 11:40:00,5,5,15,15
1900-01-01 11:45:00,6,6,18,18
1900-01-01 11:50:00,7,7,21,21
1900-01-01 11:55:00,8,8,24,24
1900-01-01 12:00:00,9,9,27,27
1900-01-01 12:05:00,10,10,30,30
1900-01-01 12:10:00,11,11,33,33
1900-01-01 12:15:00,12,12,36,36
1900-01-01 12:20:00,13,13,39,39
1900-01-01 12:25:00,14,14,42,42
1900-01-01 12:30:00,15,15,45,45
1900-01-01 12:35:00,16,16,48,48
1900-01-01 12:40:00,17,17,51,51
1900-01-01 12:45:00,18,18,54,54
1900-01-01 12:50:00,19,19,57,57
1900-01-01 12:55:00,20,20,60,60
1900-01-01 13:00:00,21,21,63,63
1900-01-01 13:05:00,22,22,66,66
1900-01-01 13:10:00,23,23,69,69
1900-01-01 13:15:00,24,24,72,72
1900-01-01 13:20:00,25,25,75,75
1900-01-01 13:25:00,26,26,78,78
1900-01-01 13:30:00,27,27,81,81
1900-01-01 13:35:00,28,28,84,84
1900-01-01 13:40:00,29,29,87,87
1900-01-01 13:45:00,30,30,90,90
1900-01-01 13:50:00,31,31,93,93
1900-01-01 13:55:00,32,32,96,96
1900-01-01 14:00:00,33,33,99,99
1900-01-01 14:05:00,34,34,102,102
1900-01-01 14:10:00,35,35,105,105
1900-01-01 14:15:00,36,36,108,108
1900-01-01 14:20:00,37,37,111,111
1900-01-01 14:25:00,38,38,114,114
1900-01-01 14:30:00,39,39,117,117
1900-01-01 14:35:00,40,40,120,120
1900-01-01 14:40:00,41,41,123,123
1900-01-01 14:45:00,42,42,126,126
1900-01-01 14:50:00,43,43,129,129
1900-01-01 14:55:00,44,44,132,132
1900-01-01 15:00:00,45,45,135,135
1900-01-01 15:05:00,46,46,138,138
1900-01-01 15:10:00,47,47,141,141
1900-01-01 15:15:00,48,48,144,144
1900-01-01 15:20:00,49,49,147,147
1900-01-01 15:25:00,50,50,150,150
1900-01-01 15:30:00,51,51,153,153
1900-01-01 15:35:00,52,52,156,156
1900-01-01 15:40:00,53,53,159,159
1900-01-01 15:45:00,54,54,162,162
1900-01-01 15:50:00,55,55,165,165
1900-01-01 15:55:00,56,56,168,168
1900-01-01 16:00:00,57,57,171,171
1900-01-01 16:05:00,58,58,174,174
1900-01-01 16:10:00,59,59,177,177
1900-01-01 16:15:00,60,60,180,180
1900-01-01 16:20:00,61,61,183,183
1900-01-01 16:25:00,62,62,186,186
1900-01-01 16:30:00,63,63,189,189
1900-01-01 16:35:00,64,64,192,192
1900-01-01 16:40:00,65,65,195,195
1900-01-01 16:45:00,66,66,198,198
1900-01-01 16:50:00,67,67,201,201
1900-01-01 16:55:00,68,68,204,204
1900-01-01 17:00:00,69,69,207,207
1900-01-01 17:05:00,70,70,210,210
1900-01-01 17:10:00,71,71,213,213
1900-01-01 17:15:00,72,72,216,216
1900-01-01 17:20:00,73,73,219,219
1900-01-01 17:25:00,74,74,222,222
1900-01-01 17:30:00,75,75,225,225
1900-01-01 17:35:00,76,76,228,228
1900-01-01 17:40:00,77,77,231,231
1900-01-01 17:45:00,78,78,234,234
1900-01-01 17:50:00,79,79,237,237
1900-01-01 17:55:00,80,80,240,240
1900-01-01 18:00:00,81,81,243,243
1900-01-01 18:05:00,82,82,246,246
1900-01-01 18:10:00,83,83,249,249
1900-01-01 18:15:00,84,84,252,252
1900-01-01 18:20:00,85,85,255,255
1900-01-01 18:25:00,86,86,258,258
1900-01-01 18:30:00,87,87,261,261
1900-01-01 18:35:00,88,88,264,264
1900-01-01 18:40:00,89,89,267,267
1900-01-01 18:45:00,90,90,270,270
1900-01-01 18:50:00,91,91,273,273
1900-01-01 18:55:00,92,92,276,276
1900-01-01 19:00:00,93,93,279,279
1900-01-01 19:05:00,94,94,282,282
1900-01-01 19:10:00,95,95,285,285
1900-01-01 19:15:00,96,96,288,288
1900-01-01 19:20:00,97,97,291,291
1900-01-01 19:25:00,98,98,294,294
1900-01-01 19:30:00,99,99,297,297
1900-01-01 19:35:00,100,100,300,300
1900-01-01 19:40:00,101,101,303,303
1900-01-01 19:45:00,102,102,306,306
1900-01-01 19:50:00,103,103,309,309
1900-01-01 19:55:00,104,104,312,312
